# Add info here for slot controlled events
# format: [CID],[CTOT]

1812410,1400
1637436,1403
1760736,1406
1750127,1409
1948854,1412
1610298,1415
1843493,1418
1781390,1421
1884191,1424
1806803,1427
1687836,1430
1615030,1433
1708206,1436
1733946,1439
1989851,1442
1772222,1445
1935536,1448
1907602,1451
1750327,1454
1059401,1457
1309499,1500
1363088,1503
1611321,1506
1678915,1509
1888239,1512
1430141,1515
1747614,1518
1363350,1521
1931027,1524
1544797,1527
1934122,1530
1579329,1533
811348,1536
1953570,1539
1544073,1542
1963938,1545
1586880,1554
1392692,1557
1782585,1600
