# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# FABL
FABL,02,BLV,BLV,2
FABL,02,BLV,OKTIG,2
FABL,02,OKTIG,BLV,2
FABL,02,OKTIG,OKTIG,2
FABL,12,BLV,BLV,2
FABL,12,BLV,OKTIG,2
FABL,12,OKTIG,BLV,2
FABL,12,OKTIG,OKTIG,2
FABL,20,BLV,BLV,2
FABL,20,BLV,OKTIG,2
FABL,20,OKTIG,BLV,2
FABL,30,OKTIG,OKTIG,2
FABL,30,BLV,BLV,2
FABL,30,BLV,OKTIG,2
FABL,30,OKTIG,BLV,2
FABL,30,OKTIG,OKTIG,2

# FACT
FACT,01,IMSOM,IMSOM,2
FACT,01,IMSOM,KODES,1
FACT,01,IMSOM,OKTED,1
FACT,01,IMSOM,TETAN,1
FACT,01,KODES,IMSOM,1
FACT,01,KODES,KODES,2
FACT,01,KODES,OKTED,1
FACT,01,KODES,TETAN,1
FACT,01,OKTED,IMSOM,1
FACT,01,OKTED,KODES,1
FACT,01,OKTED,OKTED,2
FACT,01,OKTED,TETAN,1
FACT,01,TETAN,IMSOM,1
FACT,01,TETAN,KODES,1
FACT,01,TETAN,OKTED,1
FACT,01,TETAN,TETAN,2
FACT,19,IMSOM,IMSOM,2
FACT,19,IMSOM,KODES,1
FACT,19,IMSOM,OKTED,1
FACT,19,IMSOM,TETAN,1
FACT,19,KODES,IMSOM,1
FACT,19,KODES,KODES,2
FACT,19,KODES,OKTED,1
FACT,19,KODES,TETAN,1
FACT,19,OKTED,IMSOM,1
FACT,19,OKTED,KODES,1
FACT,19,OKTED,OKTED,2
FACT,19,OKTED,TETAN,1
FACT,19,TETAN,IMSOM,1
FACT,19,TETAN,KODES,1
FACT,19,TETAN,OKTED,1
FACT,19,TETAN,TETAN,2

# FAEL
FAEL,06,ELV,ELV,2
FAEL,11,ELV,ELV,2
FAEL,24,ELV,ELV,2
FAEL,29,ELV,ELV,2

# FALA
FALA,07,GAV,GAV,2
FALA,07,GAV,JSV,2
FALA,07,GAV,XAGEN,2
FALA,07,JSV,GAV,2
FALA,07,JSV,JSV,2
FALA,07,JSV,XAGEN,2
FALA,07,XAGEN,GAV,2
FALA,07,XAGEN,JSV,2
FALA,07,XAGEN,XAGEN,2
FALA,25,GAV,GAV,2
FALA,25,GAV,JSV,2
FALA,25,GAV,XAGEN,2
FALA,25,JSV,GAV,2
FALA,25,JSV,JSV,2
FALA,25,JSV,XAGEN,2
FALA,25,XAGEN,GAV,2
FALA,25,XAGEN,JSV,2
FALA,25,XAGEN,XAGEN,2

# FALE
FALE,06,GYV,GYV,2
FALE,06,GYV,ITMIL,1
FALE,06,GYV,OKTAN,1
FALE,06,GYV,PMV,1
FALE,06,GYV,TUBIN,1
FALE,06,ITMIL,GYV,1
FALE,06,ITMIL,ITMIL,2
FALE,06,ITMIL,OKTAN,1
FALE,06,ITMIL,PMV,1
FALE,06,ITMIL,TUBIN,1
FALE,06,OKTAN,GYV,1
FALE,06,OKTAN,ITMIL,1
FALE,06,OKTAN,OKTAN,2
FALE,06,OKTAN,PMV,1
FALE,06,OKTAN,TUBIN,2
FALE,06,PMV,GYV,1
FALE,06,PMV,ITMIL,1
FALE,06,PMV,OKTAN,1
FALE,06,PMV,PMV,2
FALE,06,PMV,TUBIN,1
FALE,06,TUBIN,GYV,1
FALE,06,TUBIN,ITMIL,1
FALE,06,TUBIN,OKTAN,2
FALE,06,TUBIN,PMV,1
FALE,06,TUBIN,TUBIN,2
FALE,24,GYV,GYV,2
FALE,24,GYV,ITMIL,1
FALE,24,GYV,OKTAN,1
FALE,24,GYV,PMV,1
FALE,24,GYV,TUBIN,1
FALE,24,ITMIL,GYV,1
FALE,24,ITMIL,ITMIL,2
FALE,24,ITMIL,OKTAN,1
FALE,24,ITMIL,PMV,1
FALE,24,ITMIL,TUBIN,1
FALE,24,OKTAN,GYV,1
FALE,24,OKTAN,ITMIL,1
FALE,24,OKTAN,OKTAN,2
FALE,24,OKTAN,PMV,1
FALE,24,OKTAN,TUBIN,2
FALE,24,PMV,GYV,1
FALE,24,PMV,ITMIL,1
FALE,24,PMV,OKTAN,1
FALE,24,PMV,PMV,2
FALE,24,PMV,TUBIN,1
FALE,24,TUBIN,GYV,1
FALE,24,TUBIN,ITMIL,1
FALE,24,TUBIN,OKTAN,2
FALE,24,TUBIN,PMV,1
FALE,24,TUBIN,TUBIN,2

# FAOR
FAOR,03L,APDAK,APDAK,2
FAOR,03L,APDAK,EGMEN,2
FAOR,03L,APDAK,EXOBI,2
FAOR,03L,APDAK,GAV,1
FAOR,03L,APDAK,GEROX,2
FAOR,03L,APDAK,HGV,2
FAOR,03L,APDAK,OVALA,2
FAOR,03L,APDAK,NESAN,1
FAOR,03L,APDAK,RAGUL,1
FAOR,03L,APDAK,VASUR,1
FAOR,03L,EGMEN,APDAK,2
FAOR,03L,EGMEN,EGMEN,2
FAOR,03L,EGMEN,EXOBI,2
FAOR,03L,EGMEN,GAV,1
FAOR,03L,EGMEN,GEROX,1
FAOR,03L,EGMEN,HGV,2
FAOR,03L,EGMEN,OVALA,2
FAOR,03L,EGMEN,NESAN,1
FAOR,03L,EGMEN,RAGUL,1
FAOR,03L,EGMEN,VASUR,1
FAOR,03L,EXOBI,APDAK,2
FAOR,03L,EXOBI,EGMEN,2
FAOR,03L,EXOBI,EXOBI,2  
FAOR,03L,EXOBI,GAV,1
FAOR,03L,EXOBI,GEROX,1
FAOR,03L,EXOBI,HGV,1
FAOR,03L,EXOBI,OVALA,1
FAOR,03L,EXOBI,NESAN,1
FAOR,03L,EXOBI,RAGUL,1
FAOR,03L,EXOBI,VASUR,1
FAOR,03L,GAV,APDAK,1
FAOR,03L,GAV,EGMEN,1
FAOR,03L,GAV,EXOBI,1
FAOR,03L,GAV,GAV,2
FAOR,03L,GAV,GEROX,1
FAOR,03L,GAV,HGV,1
FAOR,03L,GAV,OVALA,1
FAOR,03L,GAV,NESAN,1
FAOR,03L,GAV,RAGUL,2
FAOR,03L,GAV,VASUR,1
FAOR,03L,NESAN,APDAK,1
FAOR,03L,NESAN,EGMEN,1
FAOR,03L,NESAN,EXOBI,1
FAOR,03L,NESAN,GAV,1
FAOR,03L,NESAN,GEROX,1
FAOR,03L,NESAN,HGV,1
FAOR,03L,NESAN,OVALA,1
FAOR,03L,NESAN,NESAN,2
FAOR,03L,NESAN,RAGUL,1
FAOR,03L,NESAN,VASUR,2
FAOR,03L,RAGUL,APDAK,1
