===== FAOR Charts =====

The following charts are sourced from the SACAA public AIP.

^ Code ^ Description                           ^ URL ^ Remarks ^
| PATC  | Precision Approach Terrain Chart 03L   | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/PATC_JNB_RWY_03L.pdf|Chart]] | - |
| PATC  | Precision Approach Terrain Chart 21R   | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/PATC_JNB_RWY_21R.pdf|Chart]] | - |
| PATC  | Precision Approach Terrain Chart 03R   | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/PATC_JNB_RWY_03R.pdf|Chart]] | - |
| PATC  | Precision Approach Terrain Chart 21L   | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/PATC_JNB_RWY_21L.pdf|Chart]] | - |
| AOC   | Aerodrome Obstacle Chart               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/Obstacle%20Type%20A%20ORTIA_RWY_03R-21L.pdf|Chart]] | RWY 03R/21L |
| AOC   | Aerodrome Obstacle Chart               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR%20AD%20OBST%20Chart%20RWY03L-21R.pdf|Chart]] | RWY 03L/21R |
| ADC   | Aerodrome Chart                        | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR%20AD-01%20Chart.pdf|Chart]] | - |
| APDC  | Parking Chart                          | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ACFT%20PRKG-DOCKING%20CHART_AD-04.pdf|Chart]] | C & M Apron |
| APDC  | Parking Chart                          | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ACFT%20PRKG-DOCKING%20CHART_AD-05.pdf|Chart]] | D & G Apron |
| GMC   | Ground Movement Chart                  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_GROUND%20MOVEMENT%20CHART_AD-07.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - ILS Z 03L  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ILS%20Z%20RWY%2003L_ILS-01%2010%20JAN%202013.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - ILS Y 03L  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ILS%20Y%20RWY%2003L_ILS-02.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - ILS Z 03R  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ILS%20Z%20RWY%2003R_ILS-03%2010%20JAN%202013.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - ILS W 03R  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ILS%20W%20RWY%2003R_ILS-06%2021%20AUG%202014_SUSPENDED%20NOTAMN%20A0123-13.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - ILS X 03R  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ILS%20X%20RWY%2003R_ILS-05%2021%20AUG%202014.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - ILS Z 21L  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ILS%20Z%20RWY%2021L_ILS-07%2010%20JAN%202013.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - ILS 21R    | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_ILS%20RWY%2021R_ILS-10.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - RNAV 03R   | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_RNAV%20RWY03R_RNAV-01.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - RNAV 21L   | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_RNAV%20RWY21L_RNAV-02.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - VOR Z 21R  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_VOR%20Z%20RWY%2021R_VOR-01%2004APR2013.pdf|Chart]] | - |
| IAC   | Instrument Approach Chart - VOR Y 21R  | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_VOR%20Y%20RWY%2021R_VOR-02%2010%20JAN%202013.pdf|Chart]] | - |
| STAR  | Arrival Chart - AVAGO 2A               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_AVAGO%202A%20RWY%2003_ARR-01.pdf|Chart]] | - |
| STAR  | Arrival Chart - AVAGO 2B               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_AVAGO%202B%20RWY%2021_ARR-13.pdf|Chart]] | - |
| STAR  | Arrival Chart - AVILO 1A               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_AVAGO%202B%20RWY%2021_ARR-13.pdf|Chart]] | - |
| STAR  | Arrival Chart - NIBEX 2A               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_NIBEX%202A%20RWY%2003_ARR-02.pdf|Chart]] | - |
| STAR  | Arrival Chart - NIBEX 2C               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_NIBEX%202C%20RWY%2021_ARR-14.pdf|Chart]] | - |
| STAR  | Arrival Chart - OKPIT 4A               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_OKPIT%204A%20RWY%2003_ARR-04.pdf|Chart]] | - |
